system_time_utc,UNIQUEID,count,area,tile,date,satname
2016-07-19 00:03:20,OFS_00901,0.0,0.0,56JKN,2016-07-19 00:03:20,S2
2016-07-29 00:03:23,OFS_00645,316.0,31600.0,56JKN,2016-07-29 00:03:23,S2
2016-07-29 00:03:23,OFS_00840,44.0,4400.0,56JKN,2016-07-29 00:03:23,S2
2016-07-29 00:03:23,OFS_00842,7412.0,741200.0,56JKN,2016-07-29 00:03:23,S2
2016-07-29 00:03:23,OFS_00901,0.0,0.0,56JKN,2016-07-29 00:03:23,S2
2016-07-29 00:03:23,OFS_00908,0.0,0.0,56JKN,2016-07-29 00:03:23,S2
2016-07-29 00:03:23,OFS_00840,44.0,4400.0,56JKN,2016-07-29 00:03:23,S2
2016-07-29 00:03:23,OFS_00842,7412.0,741200.0,56JKN,2016-07-29 00:03:23,S2
2016-07-29 00:03:23,OFS_00901,0.0,0.0,56JKN,2016-07-29 00:03:23,S2
2016-07-29 00:03:23,OFS_00908,0.0,0.0,56JKN,2016-07-29 00:03:23,S2
2016-08-01 00:12:53,OFS_00840,12.0,1200.0,56JKN,2016-08-01 00:12:53,S2
2016-08-01 00:12:53,OFS_00842,7399.0,739900.0,56JKN,2016-08-01 00:12:53,S2
2016-08-01 00:12:53,OFS_00901,0.0,0.0,56JKN,2016-08-01 00:12:53,S2
2016-08-01 00:12:53,OFS_00908,0.0,0.0,56JKN,2016-08-01 00:12:53,S2
2016-08-01 00:12:53,OFS_00840,12.0,1200.0,56JKN,2016-08-01 00:12:53,S2
2016-08-01 00:12:53,OFS_00842,7399.0,739900.0,56JKN,2016-08-01 00:12:53,S2
2016-08-01 00:12:53,OFS_00901,0.0,0.0,56JKN,2016-08-01 00:12:53,S2
2016-08-01 00:12:53,OFS_00908,0.0,0.0,56JKN,2016-08-01 00:12:53,S2
2016-08-08 00:03:48,OFS_00645,287.0,28700.0,56JKN,2016-08-08 00:03:48,S2
2016-08-08 00:03:48,OFS_00840,3456.0,345600.0,56JKN,2016-08-08 00:03:48,S2
2016-08-08 00:03:48,OFS_00842,7444.0,744400.0,56JKN,2016-08-08 00:03:48,S2
2016-08-08 00:03:48,OFS_00901,0.0,0.0,56JKN,2016-08-08 00:03:48,S2
2016-08-08 00:03:48,OFS_00908,0.0,0.0,56JKN,2016-08-08 00:03:48,S2
2016-08-08 00:03:48,OFS_00645,287.0,28700.0,56JKN,2016-08-08 00:03:48,S2
2016-08-08 00:03:48,OFS_00840,3456.0,345600.0,56JKN,2016-08-08 00:03:48,S2
2016-08-08 00:03:48,OFS_00842,7444.0,744400.0,56JKN,2016-08-08 00:03:48,S2
